Id,OverallQual,PropertyAge,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,TotalArea,FullBath,HalfBath,TotalBath,TotRmsAbvGrd,BedroomAbvGr,Neighborhood,MSZoning,BldgType,Remodelled,IsNew,IsPartial,SalePrice,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,SalePriceLog
1,0.6666666666666665,0.03676470588235294,0.26699937616968183,0.1803731859018659,0.46974697469746973,0.41785605830549655,0.4014241210502893,0.5,0.25,0.6000000000000001,0.5,0.375,CollgCr,RL,1Fam,1,0,0,208500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12.24769911637256
2,0.5555555555555556,0.22794117647058823,0.3936369307548347,0.32066344160331717,0.0,0.2818098997874279,0.346906987093903,0.3333333333333333,0.25,0.4000000000000001,0.33333333333333337,0.375,Veenker,RL,1Fam,1,0,0,181500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,12.109016442313738
3,0.6666666666666665,0.051470588235294115,0.28696194635059263,0.2024879060124395,0.4763476347634763,0.4409353173398117,0.42545616377392076,0.5,0.25,0.6000000000000001,0.33333333333333337,0.375,CollgCr,RL,1Fam,0,0,0,223500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12.317171167298682
4,0.6666666666666665,0.6691176470588235,0.23580786026200873,0.21665514858327573,0.4158415841584158,0.4199817795323414,0.3918558077436582,0.3333333333333333,0.0,0.2,0.41666666666666663,0.375,Crawfor,RL,1Fam,0,0,0,140000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11.849404844423074
5,0.7777777777777777,0.058823529411764705,0.35714285714285715,0.28023496890117483,0.5792079207920792,0.5660491952626785,0.5421673342234089,0.5,0.25,0.6000000000000001,0.5833333333333334,0.5,NoRidge,RL,1Fam,1,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12.429220196836383
6,0.4444444444444445,0.11764705882352941,0.24828446662507797,0.15964063579820315,0.3113311331133113,0.31217734588521107,0.317311971517579,0.3333333333333333,0.25,0.4000000000000001,0.24999999999999997,0.125,Mitchel,RL,1Fam,0,0,0,143000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11.870606902224587
7,0.7777777777777777,0.022058823529411763,0.5258889582033687,0.469937802349689,0.0,0.4129972669298513,0.4902091677792612,0.5,0.0,0.4000000000000001,0.41666666666666663,0.375,Somerst,RL,1Fam,0,0,0,307000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12.634606283893019
8,0.6666666666666665,0.2647058823529412,0.34529008109794135,0.2671043538355218,0.5407040704070407,0.5332523534770727,0.5139074321317312,0.5,0.25,0.6000000000000001,0.41666666666666663,0.375,NWAmes,RL,1Fam,1,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12.206077645517674
9,0.6666666666666665,0.5661764705882353,0.29694323144104806,0.23773324118866618,0.4136413641364136,0.43729122380807783,0.4263462394303516,0.3333333333333333,0.0,0.2,0.5,0.25,OldTown,RM,1Fam,0,0,0,129900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11.774527900858468
10,0.4444444444444445,0.5073529411764706,0.30910792264504056,0.25673807878369037,0.0,0.225630124506529,0.2755896751223854,0.3333333333333333,0.0,0.2,0.24999999999999997,0.25,BrkSide,RL,2fmCon,0,0,0,118000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11.678448377988165
